1,1,20872
1,2,20651
1,3,20576
1,4,20900
1,5,21053
1,6,20510
1,7,19873
1,8,19560
1,9,19264
1,10,18797
1,11,18410
1,12,18366
1,13,18292
1,14,17919
1,15,17316
1,16,16732
1,17,16083
1,18,15426
1,19,22699
2,19,14971
1,20,15058
1,21,14757
1,22,14397
3,19,22195
1,23,14114
2,23,13755
3,23,13658
4,23,13673
5,23,13425
6,23,19616
7,23,12548
6,22,13397
6,21,13565
5,21,13753
4,21,13987
3,21,14131
3,20,14356
4,19,15055
5,19,15219
6,19,15428
7,19,15334
8,19,15206
9,19,15142
10,19,15083
11,19,15352
11,20,15416
11,21,15124
10,21,14762
9,21,14454
8,21,7180
8,23,12045
9,23,11596
10,23,11366
11,23,11126
12,23,11011
13,23,10769
13,22,10323
13,21,9807
13,20,9545
13,19,9409
13,18,9046
13,17,8561
12,17,8181
11,17,7982
10,17,7781
9,17,7530
8,17,7367
7,17,7233
6,17,7118
5,17,6926
4,17,6581
3,17,6117
3,16,5674
3,15,8200
4,15,5034
5,15,6964
6,15,4142
7,15,3698
8,15,3122
9,15,2560
10,15,2080
3,14,5567
3,13,5492
5,14,4770
5,13,4860
5,12,4843
5,11,4701
5,10,4791
5,9,5138
5,8,5474
5,7,5623
5,6,5754
5,5,5983
6,5,6065
7,5,6079
3,12,5577
3,11,5693
3,10,5645
3,9,5505
3,8,5373
2,1,20228
3,1,19531
4,1,18738
5,1,18033
6,1,17264
11,15,1597
8,5,6180
9,5,6289
10,5,6453
11,5,6617
11,6,6736
11,7,10112
11,8,7108
10,7,6385
9,7,6080
8,7,5948
7,7,5986
11,9,7516
12,9,7979
13,9,12840
13,10,8411
13,11,8225
12,11,7928
11,11,7489
13,8,9267
13,7,9803
13,6,10341
13,5,11193
13,4,11863
13,3,12375
13,2,13051
13,1,13487
7,8,5896
7,9,8419
7,10,4943
7,11,4320
7,12,3806
7,13,3374
8,13,2841
9,13,2302
10,13,1756
11,13,1154
12,13,556
7,1,16377
8,1,15882
9,1,15582
10,1,15066
11,1,14686
12,1,14038
10,11,6988
9,11,6566
9,10,6383
9,9,6209
8,9,5934
3,7,5181
3,6,5047
3,5,5040
3,4,5107
3,3,5190
4,3,5211
5,3,5196
6,3,5259
7,3,5349
8,3,5243
9,3,5167
10,3,5172
11,3,2583
12,15,1180
13,15,772
13,14,401
